generation,best_fitness,avg_fitness,eval_time_s,total_time_s
0,0.166667,0.010417,1001.009,1001.355
1,0.166667,0.010417,1002.097,1002.524
2,0.166667,0.010417,1110.446,1110.812
3,0.166667,0.020833,1048.064,1048.451
4,0.166667,0.031250,987.202,987.592
5,0.166667,0.015625,1125.012,1125.408
6,0.500000,0.036458,1093.555,1093.980
7,0.333333,0.031250,1081.392,1081.771
8,0.166667,0.026042,1101.367,1101.751
9,0.166667,0.015625,999.696,1000.082
10,0.333333,0.031250,1145.759,1146.147
11,0.333333,0.041667,1117.355,1117.785
12,0.166667,0.020833,1152.278,1152.663
