"i","sha","MB","CumMB","Subj"
"0","38c3c7b6","0.06","0.1","initial commit: model + decoder + agent + docs"
"1","7aa25857","0.01","0.1","add ES trainer"
"2","879eeab7","0.01","0.1","fix ES trainer bugs: path, resolve_turn, cold_handle, para"
"3","d3c3a0ac","0.01","0.1","add logger utility + integrate into ES trainer"
"4","6afd9f13","0.01","0.1","add timestamped output dir + CSV history"
"5","f0c233f5","0.01","0.1","alternate first/second player by seed parity"
"6","ab3eca27","0","0.1","add training program doc"
"7","22f8a94b","0.04","0.2","perf: torch.set_num_threads + Ctrl+C handling + benchmarks"
"8","2cd626f4","400.08","400.2","fix: Ctrl+C via starmap_async polling + PAUSE + per-ind st"
"9","0161115c","0.04","400.3","feat: mirrored sampling + sigma=0.2 + adaptive histogram"
"10","4a4e2b30","0.03","400.3","feat: momentum optimizer (momentum=0.9) for smoother ES up"
"11","b35c76b1","0.05","400.4","feat: single-head training mode to avoid multi-head confli"
"12","79da4601","0.03","400.4","feat: save momentum velocity in checkpoints for continuity"
"13","e6481865","0.04","400.4","feat: cross-generational elite pool for opponent selection"
"14","65376ad9","0.03","400.5","feat: weighted elite pool selection (recent gen biased)"
"15","a0a9cada","0.01","400.5","docs: elite pool persistence and weighted selection"
"16","27c6c875","21.7","422.2","feat: unified opponent pool, HOLD class, BC training, and "
"17","0dee7100","0","422.2","chore: gitignore BC temp files, remove from tracking"
"18","aaad0df3","0","422.2","chore: add Ant-Game as git submodule"
"19","473c6c0c","0.06","422.2","feat: config hot-reload, log bugfix, docs update"
"20","b154c85d","0.04","422.3","feat: WinGraph module, win graph analysis, trajectory anal"
"21","43ace2dd","0.03","422.3","fix: resolve_turn swap bug, single_head hardcode"
"22","0563ff94","0.03","422.3","fix: WinGraph resume gen ID, step_count restore, wg log"
"23","6d19280e","0.07","422.4","feat: WinGraph DAG-based opponent selection, config hot-re"
"24","b547ca33","0.02","422.4","fix: batch WinGraph add_node games into single Pool (avoid"
"25","741e141a","0.05","422.5","fix: reuse training Pool in WinGraph add_node (avoid cold "
"26","47baf91f","0.02","422.5","fix: revert to per-game parallelism (keep shared Pool fix)"
"27","8700c8b9","0.05","422.5","feat: elite retention for ES (top pop_size^0.25 individual"
"28","d785b92d","0.03","422.6","fix: elite retention merge bug - old elites were being dis"
"29","e60f3181","0.13","422.7","refactor: replace --single-head with --num-heads N (config"
"30","b00989f1","0.02","422.7","docs: spec docs and design doc for multi-head refactoring"
"31","e8b29d87","0","422.7","feat: extract top1 as init checkpoint for ES training"
"32","d6df1e55","0.03","422.7","fix: seed elite_params from top1_init checkpoint to protec"
"33","adf1c7fd","0.05","422.8","fix: checkpoint resume gen loop start + WinGraph duplicate"
"34","1d2238b5","0.01","422.8","feat: auto-detect num_heads from checkpoint in test script"
"35","60f52651","0.03","422.8","fix: save num_heads in checkpoint metadata"
"36","23c6d553","0.01","422.8","fix: diagnose_heads.py use top1 params and NeuralAgent for"
"37","8b1e6c0d","0","422.8","fix: add self.max_actions to submission AI init"
"38","5807987a","0.08","422.9","feat: implement Elite Behavior Cloning (CEM-style BC)"
"39","a27a6d7e","0.03","423","docs: add strategy space mutation design + smoke test"
"40","c4e32a95","0.03","423","feat: add strategy-space training program ss_train.py"
"41","1efd78a9","0.01","423","docs: update ss_train design doc with final design decisio"
"42","4f84c62d","0.03","423","fix: ss_train float16 overflow + add elite retention/PAUSE"
"43","8b3f38c9","0.02","423.1","tools: add combined diagnose script, fix diagnose_heads im"
"44","5842aeef","0.03","423.1","fix: use raw argmax in decoder (no fallback to legal actio"
"45","96b50a74","0.01","423.1","fix: eval_checkpoint support ss_train.py checkpoint format"
"46","b8b5d722","0.04","423.1","feat: add Leaderboard opponent pool (sorted ranking, thres"
"47","ec206c2e","0.04","423.2","refactor: move match logic into Leaderboard.add_candidate "
"48","bc7c9af7","0.01","423.2","refactor: add_candidate challenges ladder strongest->weake"
"49","38e66a0b","0.11","423.3","refactor: behavior-space mutation replaces mirrored σε sam"
"50","38aae17c","0.06","423.4","feat: gradient-guided mutation + elite retention + leaderb"
"51","6b201189","0.06","423.4","feat: two-phase evaluation + mutation diversity fix"
"52","dc61c990","0.04","423.5","fix: k_per_ind from opp_params_list length instead of game"
"53","02678475","0.05","423.5","chore: n-grad-dirs default 20→100, Phase 2 uses independen"
"54","1acf3d5d","0.05","423.6","feat: head swap mutation + leaderboard injection + categor"
"55","8e5b9b93","0.05","423.6","feat: mean injection + config_reload auto-log all keys"
"56","f384d68f","0.16","423.8","feat: balanced distillation training achieves state-depend"
"57","ae333d49","0.01","423.8","docs: add detailed distillation training experiment log"
"58","aa7b5b15","0.09","423.9","feat: implement multi-expert architecture with gating netw"
"59","469ee9c4","0.01","423.9","fix: MixedStrategyOpponent call list_bundles via agent ins"
"60","fd3f9324","0.04","423.9","fix: set CUDA_VISIBLE_DEVICES="""" in eval workers to avoid "
"61","b24880c8","0.01","423.9","docs: 更新动作类型对照表，将非字母符号替换为字母简写"
"62","5fc4e7bb","0.03","424","perf: 诊断程序添加线程数限制，避免多进程训练时CPU线程竞争"
"63","04fcc5ed","0.03","424","docs/code: 将诊断程序动作名改为类型ID+完整名称格式"
"64","b05c68f9","0.06","424.1","feat: rare-action oversampling via f^(-α) data duplication"
"65","b979253c","0.01","424.1","docs: add action-dropout flag documentation to diagnose_to"
"66","ff941b95","0.01","424.1","feat: separate model-intended vs dropout-forced action sta"
"67","9f3f9a45","0.02","424.1","feat: add action dropout support to NeuralAgent and diagno"
"68","6187144d","0.05","424.2","feat: add BC weight decay and action dropout to ES trainin"
"69","ca8c49f5","0.01","424.2","feat: add small model and rule_v4 opponent support to eval"
"70","42844451","0.01","424.2","feat: add --action-dropout support to eval_checkpoint.py"
"71","a8e85d47","0.01","424.2","docs: rewrite action_dropout_es.md with rationale and expe"
"72","5c884af8","0.01","424.2","fix: seed random module in eval_checkpoint worker for repr"
"73","981a88eb","0.06","424.3","feat: store per-frame game outcome (value label) in BC dat"
"74","188b6940","0.06","424.3","fix: mean injection overwriting elite #1 in population ass"
"75","fe7295d5","0.06","424.4","feat: add oversample_alpha to hot-reload params"
"76","901b55d3","0.11","424.5","feat: add MCTS eval mode, per-frame value labels, and clea"
"77","3a7e8b21","0.05","424.5","feat: GA+SS hybrid training framework with function-space "
"78","948ae045","0.07","424.6","feat: fix fitness aggregation, CUDA DLL issue, and diagnos"
"79","1b5a827f","0.01","424.6","fix: diagnose_heads missing action_dropout parameter and w"
"80","aa5cc346","0.02","424.6","feat: diagnose.py --ind flag to test specific population i"
"81","46a9db2d","0.01","424.6","fix: restore model-intent vs dropout-forced stats in diagn"
"82","9806191d","0.04","424.7","feat: sharp uniform mutation, amp scaling, enable regulari"
"83","99e37a5f","0.06","424.7","fix: soft-target loss now uses stored head_logits instead "
"84","eb476528","0.04","424.8","feat: mutate_class_labels_soft — swap head_logits consiste"
"85","57ab8107","0","424.8","docs: soft label mutation and distillation BC"
"86","b5bf2b3f","0.03","424.8","fix: mutation always uses hard labels, crossover uses CLI "
"87","98a6f1a2","0.03","424.8","feat: gradient-direction mutation with shared computation"
"88","15301508","0.03","424.9","fix: replace hard head protection with bias-decay regulari"
"89","5c8b79c2","0.01","424.9","docs: ActionCatalog score regression plan"
"90","e260e93c","0.01","424.9","docs: update score regression plan with per-cell decoding "
"91","37b1b603","0.01","424.9","docs: data collection as standalone script, not part of _e"
"92","d0495dbd","0.02","424.9","feat: score regression distillation pipeline"
"93","98f8ac83","0.01","424.9","fix: ScoreDataset float16 memory optimization + chunk file"
"94","c0cf15f9","0.03","424.9","fix: init population with mean+noise instead of zeros"
"95","1d3d70ab","0.03","425","fix: restore BN running stats from model_state when loadin"
"96","b842fa6e","0.02","425","fix: freeze BN running stats at pretrained values during G"
"97","d9cbf9e9","0.03","425","fix: pass frozen BN running stats to _eval_worker for corr"
"98","587844c7","0.06","425.1","feat: --no-bn mode — remove BatchNorm layers from model"
"99","929bdbc5","0.04","425.1","feat: BN folding for --no-bn mode — convert BN model to eq"
"100","32d51edc","0.03","425.1","fix: local run_eval using custom _eval_worker (supports no"
"101","616ca751","0.06","425.2","fix: diagnose/eval tools support no-BN checkpoints"
"102","f5aaa499","0.06","425.3","feat: hot-reload lambda_soft and epochs via config.txt"
"103","32dad0ae","0.01","425.3","docs: predictive world model plan — learn features by pred"
"104","227ee8ed","0.03","425.3","fix: skip BN folding when checkpoint is already no-BN"
"105","3e376284","0","425.3","docs: adaptive leaderboard opponent weighting"
"106","6eaf4b51","0","425.3","docs: fix target — opponent WR ~70%, individual WR ~30%"
"107","65d355bb","0.01","425.3","docs: add lambda formula, sigma parameter, momentum update"
"108","642870b3","0.04","425.3","feat: adaptive LB opponent sampling — rank × λ weights"
"109","6c35211f","0","425.4","docs: temperature-sampled evaluation with z-score normaliz"
"110","05a2af98","0.05","425.4","feat: temperature-sampled evaluation with z-score normaliz"
"111","c17e29dc","0.01","425.4","feat: per-class z-score normalization for score regression"
"112","6112a616","0.03","425.4","fix: handle numpy array mean in checkpoints (score_distill"
"113","96f6b918","0.04","425.5","fix: restore BN stats when loading score_distill checkpoin"
"114","2634781c","0.01","425.5","feat: new LB entries inherit λ from rank 0 instead of defa"
"115","f1b12c2c","0","425.5","docs: multi-round tournament evaluation plan"
"116","8bc4191e","0.03","425.5","feat: multi-round tournament evaluation"
"117","808247c3","0.01","425.5","perf: ActionCatalog.build with rerank=False in dropout"
"118","589c3923","0.01","425.5","fix: dropout only picks single-operation bundles, skip com"
"119","818ef7b3","0","425.6","docs: intent decoding — Lightning auto-downgrade when gold"
"120","8fb01951","0.01","425.6","docs: intent decoding for all 4 super weapons + class_mask"
"121","111f2ebe","0.01","425.6","docs: use model's downgrade action_map instead of hardcode"
"122","7c0c71e9","0.01","425.6","docs: intent decoding enabled by default, no extra CLI arg"
"123","cbf79146","0.06","425.6","feat: intent decoding — auto-downgrade towers to fund supe"
"124","dbe03392","0.03","425.7","perf: pre-subsample mutation dataset to fit in RAM"
"125","800551f5","0.08","425.7","fix: PPO on-policy correctness — actual sampled actions, u"
"126","003f3293","0.22","426","fix: PPO rollout stores z-score normalized logits — distri"
"127","192d95c7","0.03","426","feat: adaptive Leaderboard opponent pool for PPO training"
"128","3163ae68","0.03","426","fix: Leaderboard cold-start uses correctly-folded params; "
"129","cdddf0ff","0.03","426.1","fix: show '-' for win_rate on non-eval iterations (was mis"
"130","97ac7431","0.03","426.1","chore: newline after progress dots in rollout and eval"
"131","45caeeab","0.03","426.1","feat: log stage markers (rollout/ppo_update/eval/lb_challe"
"132","8dffbceb","0.03","426.2","fix: newline after eval progress dots before lb_challenge "
"133","8e63889e","0.04","426.2","feat: --no-eval to skip win-rate eval; log LB challenge ra"
"134","225c143d","0.04","426.2","fix: print stage marker before challenge dots so logs don'"
"135","a60c3b92","0.04","426.3","fix: log challenge WR inside _vs_lb (no extra games), like"
"136","7cc0da62","0.04","426.3","feat: LB challenge runs every iteration (like GA per-gen),"
"137","e31f2279","0.04","426.3","fix: target policy uses raw softmax (not z-score) — stops "
"138","8bc34d01","0.09","426.4","feat: position channel optimization as auxiliary loss (not"
"139","e50824ce","0.01","426.4","docs: record negative result — position in ratio explodes "
"140","69109fa6","0.06","426.5","feat: position optimization via trust-region MSE (user's d"
"141","6ad6a63d","0.04","426.5","feat(exp): position optimization = hard (-logp) + MSE trus"
"142","00474098","0.04","426.6","feat: position optimization = hard (-logp) + MSE trust-reg"
"143","b9f39c73","0.08","426.7","feat: REINFORCE-style position optimization with actual-ch"
"144","b4ff0e23","0.14","426.8","feat(az_intent): bundle-MCTS AlphaZero training pipeline ("
"145","1e699b66","0.01","426.8","feat(az_intent): per-round self-play progress log + batch "
"146","b4a72335","0.03","426.9","fix(test_match): diagnose scripts support az_intent model_"
"147","7b221a1f","0.01","426.9","feat(az_intent): search-vs-search comparison script (full "
"148","d699d870","0.01","426.9","docs(az_intent): plan for round-2 training — weighted futu"
"149","61426039","0.02","426.9","feat(az_intent): round-2 training — weighted future hp-dif"
"150","32d29846","0.02","426.9","fix(az_intent): value labels must be signed by the sample "
"151","4d69fde9","0.02","426.9","docs(az_intent): plan for round-3 — split policy/value int"
"152","5921df43","0.06","427","feat(az_intent): round-3 — split policy/value into indepen"
"153","74d31862","0.01","427","docs(az_intent): record training validation results — from"
"154","7417e565","0","427","feat(az_intent): batch loop uses split + label-scale 6, pa"
"155","9974a931","0.01","427","docs(az_intent): record breakthrough — iterative split tra"
"156","6616dfaa","1.06","428.1","docs(az_intent): M1 plan — thin pybind11 binding from a co"
"157","39e6a871","0.03","428.1","feat(az_intent): M1 — thin pybind11 binding of the C++ eng"
"158","17ca88cd","0.01","428.1","docs(az_intent): M1d done — C++ round resolution 76μs vs P"
"159","0fe054ec","0.01","428.1","feat(az_intent): eval.py --our-player to fix first/second "
"160","0980e284","0.56","428.7","fix(az_intent): binding matches official C++ cold-op seman"
"161","ceeed255","0","428.7","chore(az_intent): ignore game init's mini_replay.txt artif"
"162","0cc9c590","0.01","428.7","test(az_intent): comprehensive op-type coverage vs officia"
"163","b34c6039","0.02","428.7","feat(az_intent): step1 — expose full game state for the du"
"164","0a866a85","0.01","428.7","feat(az_intent): step2 — duck-typed GameStateFacade over t"
"165","1294183e","0.04","428.8","perf(az_intent): vectorize class sampling in bundle MCTS"
"166","306624fe","0.04","428.8","perf(az_intent): clone-free can_apply (dry-run) for the fa"
