generation,best_fitness,avg_fitness,eval_time_s,total_time_s,dist_to_target
0,0.073062,0.070310,2.436,2.948,9.176597
1,0.073472,0.070318,2.186,2.657,9.121289
2,0.073708,0.070570,2.136,2.574,9.034996
3,0.074880,0.071022,2.158,2.607,8.965089
4,0.073506,0.070945,2.083,2.514,8.915485
5,0.074036,0.071517,2.096,2.541,8.873309
6,0.074757,0.071347,2.093,2.529,8.819100
7,0.075711,0.071904,2.089,2.535,8.768967
8,0.075915,0.071699,2.110,2.553,8.690185
9,0.075150,0.071968,2.096,2.533,8.632094
10,0.077220,0.072374,2.081,2.510,8.565473
11,0.076183,0.072746,2.095,2.542,8.505922
12,0.075944,0.072895,2.079,2.536,8.447234
13,0.077116,0.073230,2.087,2.539,8.391762
14,0.076625,0.073322,2.079,2.521,8.342775
15,0.075928,0.073214,2.105,2.570,8.286930
16,0.075843,0.073576,2.078,2.554,8.241142
17,0.076512,0.073982,2.118,2.565,8.182673
18,0.076530,0.074222,2.079,2.518,8.132888
19,0.077002,0.074177,2.103,2.542,8.068018
20,0.076989,0.074665,2.107,2.546,8.036763
21,0.077019,0.074252,2.119,2.563,7.972263
22,0.078082,0.075070,2.080,2.517,7.929313
23,0.077817,0.075235,2.127,2.587,7.856598
24,0.078144,0.074899,2.177,2.634,7.800142
25,0.079663,0.075507,2.185,2.634,7.747571
26,0.078012,0.075541,2.114,2.558,7.688415
27,0.078785,0.075525,2.128,2.563,7.639925
28,0.079086,0.075528,2.129,2.571,7.605425
29,0.078898,0.076284,2.127,2.580,7.575953
30,0.078848,0.076195,2.117,2.571,7.528662
31,0.079706,0.076290,2.127,2.561,7.471334
32,0.079159,0.076288,2.092,2.530,7.409651
33,0.079303,0.076403,2.129,2.578,7.362905
34,0.078790,0.076500,2.097,2.530,7.315638
35,0.079524,0.077055,2.134,2.561,7.263197
36,0.080032,0.076963,2.102,2.542,7.211429
37,0.081312,0.077307,2.124,2.568,7.160436
38,0.080236,0.077523,2.104,2.531,7.120097
39,0.080786,0.078328,2.124,2.554,7.077195
40,0.082802,0.077946,2.117,2.563,7.019804
41,0.083128,0.078762,2.149,2.594,6.961157
42,0.080733,0.078435,2.104,2.555,6.923814
43,0.081855,0.078694,2.133,2.575,6.883632
44,0.081770,0.078632,2.108,2.552,6.848192
45,0.081060,0.078462,2.366,2.830,6.800133
46,0.082919,0.079086,2.165,2.620,6.737864
47,0.081929,0.079240,2.137,2.599,6.678107
48,0.082148,0.079512,2.185,2.631,6.638117
49,0.082909,0.079929,2.145,2.581,6.585082
50,0.084184,0.079688,2.113,2.552,6.516996
51,0.082961,0.079712,2.205,2.643,6.465571
52,0.086149,0.080012,2.149,2.603,6.415082
53,0.083222,0.080504,2.117,2.582,6.360039
54,0.084138,0.080458,2.117,2.550,6.318382
55,0.084258,0.080237,2.129,2.571,6.270472
56,0.084901,0.080893,2.107,2.555,6.225772
57,0.083604,0.080737,2.120,2.559,6.190762
58,0.085987,0.081042,2.112,2.577,6.119866
59,0.085071,0.081164,2.198,2.645,6.072249
60,0.084959,0.081818,2.150,2.582,6.039734
61,0.085483,0.082107,2.186,2.640,5.969467
62,0.084817,0.081938,2.155,2.599,5.926900
63,0.087071,0.082141,2.159,2.612,5.870742
64,0.085302,0.081968,2.128,2.556,5.819573
65,0.085869,0.082365,2.172,2.613,5.773306
66,0.087093,0.082863,2.161,2.608,5.729463
67,0.087695,0.083381,2.134,2.609,5.675569
68,0.086629,0.082785,2.129,2.568,5.654619
69,0.086808,0.083287,2.136,2.567,5.618199
70,0.086509,0.082898,2.179,2.606,5.596019
71,0.086328,0.083045,2.119,2.574,5.545117
72,0.089122,0.083877,2.168,2.609,5.501677
73,0.086169,0.083508,2.173,2.617,5.458642
74,0.087849,0.083981,2.132,2.582,5.405831
75,0.088737,0.083678,2.121,2.560,5.374629
76,0.088250,0.084748,2.165,2.596,5.344824
77,0.087549,0.084185,2.173,2.628,5.329100
78,0.086951,0.084446,2.166,2.612,5.294141
79,0.088345,0.084482,2.165,2.606,5.266606
80,0.087966,0.084300,2.143,2.588,5.228744
81,0.087851,0.084645,2.169,2.599,5.201698
82,0.088874,0.084713,2.161,2.604,5.179402
83,0.087795,0.084616,2.119,2.557,5.130991
84,0.087186,0.084674,2.161,2.602,5.099977
85,0.088039,0.084926,2.127,2.561,5.073385
86,0.089388,0.085510,2.130,2.575,5.043760
87,0.089636,0.085301,2.142,2.597,5.007208
88,0.088977,0.085140,2.178,2.618,4.975033
89,0.090544,0.085573,2.129,2.556,4.947230
90,0.088911,0.085796,2.182,2.648,4.926979
91,0.088909,0.085247,2.142,2.582,4.897026
92,0.088896,0.085482,2.196,2.643,4.854515
93,0.089102,0.085516,2.129,2.570,4.832701
94,0.090401,0.085800,2.188,2.640,4.811730
95,0.088448,0.085744,2.122,2.558,4.787965
96,0.089532,0.086114,2.157,2.591,4.752967
97,0.089571,0.086010,2.131,2.574,4.717535
98,0.089675,0.086229,2.174,2.618,4.685492
99,0.090181,0.086605,2.156,2.602,4.640324
100,0.091695,0.086641,2.171,2.610,4.612545
101,0.090350,0.086759,2.110,2.550,4.570044
102,0.089952,0.086261,2.176,2.623,4.537647
103,0.091667,0.087020,2.199,2.652,4.476946
104,0.090230,0.087490,2.160,2.609,4.450499
105,0.092676,0.087315,2.119,2.550,4.424073
106,0.092233,0.087562,2.211,2.670,4.403433
107,0.092477,0.087104,2.176,2.629,4.371732
108,0.090725,0.087337,2.257,2.710,4.347075
109,0.091583,0.087799,2.202,2.655,4.328088
110,0.093298,0.087649,2.166,2.619,4.293109
111,0.091610,0.087628,2.193,2.672,4.255803
112,0.091334,0.088057,2.341,2.821,4.228870
113,0.091371,0.087676,2.237,2.691,4.223541
114,0.092446,0.087878,2.213,2.646,4.212328
115,0.090523,0.087674,2.212,2.661,4.175031
116,0.092431,0.087473,2.120,2.565,4.143301
117,0.091205,0.087952,2.166,2.603,4.112267
118,0.092423,0.088305,2.186,2.616,4.072017
119,0.093188,0.089197,2.127,2.563,4.066066
120,0.091910,0.088340,2.135,2.573,4.040923
121,0.092825,0.088650,2.121,2.546,4.023114
122,0.092387,0.088253,2.111,2.538,3.983870
123,0.092708,0.088507,2.126,2.555,3.954116
124,0.093563,0.088779,2.117,2.541,3.907086
125,0.093881,0.088782,2.128,2.581,3.877041
126,0.093429,0.088788,2.113,2.552,3.866380
127,0.092989,0.089115,2.118,2.555,3.854069
128,0.093673,0.088729,2.099,2.542,3.843563
129,0.092271,0.088922,2.114,2.558,3.852579
130,0.092744,0.089050,2.133,2.575,3.819411
131,0.093039,0.088773,2.117,2.552,3.786389
132,0.093452,0.089101,2.125,2.561,3.788623
133,0.094201,0.089352,2.134,2.572,3.783218
134,0.095043,0.089450,2.136,2.593,3.739993
135,0.091981,0.088898,2.174,2.612,3.716302
136,0.092094,0.089178,2.130,2.569,3.706032
137,0.092494,0.089413,2.153,2.591,3.698042
138,0.093831,0.089419,2.131,2.577,3.682440
