============================================================
                       ES Training                       
============================================================
[09:47:12] out_dir=training_history_20260630_094712
[09:47:12] params=553,053
[09:47:12] seed=42
[09:47:12] pop_size=48
[09:47:12] sigma=0.3
[09:47:12] lr=0.1
[09:47:12] workers=16
[09:47:12] games_per_ind=6
[09:47:12] generations=200
[09:47:12] opponents=random from population (self-play)
------------------------------------------------------------
[09:47:12] mode=synthetic test
[09:47:12] init_dist_to_target=9.2390
gen=gen  best=best_fit  avg=avg_fit  eval_s=eval(s)  total_s=total(s)  dist=dist_to_target
-----------------------------------------------------------------
gen=0  best=0.0731  avg=0.0703  eval_s=2.4  total_s=2.9  dist=9.18
gen=1  best=0.0735  avg=0.0703  eval_s=2.2  total_s=2.7  dist=9.12
gen=2  best=0.0737  avg=0.0706  eval_s=2.1  total_s=2.6  dist=9.03
gen=3  best=0.0749  avg=0.0710  eval_s=2.2  total_s=2.6  dist=8.97
gen=4  best=0.0735  avg=0.0709  eval_s=2.1  total_s=2.5  dist=8.92
gen=5  best=0.0740  avg=0.0715  eval_s=2.1  total_s=2.5  dist=8.87
gen=6  best=0.0748  avg=0.0713  eval_s=2.1  total_s=2.5  dist=8.82
gen=7  best=0.0757  avg=0.0719  eval_s=2.1  total_s=2.5  dist=8.77
gen=8  best=0.0759  avg=0.0717  eval_s=2.1  total_s=2.6  dist=8.69
gen=9  best=0.0752  avg=0.0720  eval_s=2.1  total_s=2.5  dist=8.63
[09:47:42] checkpoint=training_history_20260630_094712\gen_0010.pt
gen=10  best=0.0772  avg=0.0724  eval_s=2.1  total_s=2.5  dist=8.57
gen=11  best=0.0762  avg=0.0727  eval_s=2.1  total_s=2.5  dist=8.51
gen=12  best=0.0759  avg=0.0729  eval_s=2.1  total_s=2.5  dist=8.45
gen=13  best=0.0771  avg=0.0732  eval_s=2.1  total_s=2.5  dist=8.39
gen=14  best=0.0766  avg=0.0733  eval_s=2.1  total_s=2.5  dist=8.34
gen=15  best=0.0759  avg=0.0732  eval_s=2.1  total_s=2.6  dist=8.29
gen=16  best=0.0758  avg=0.0736  eval_s=2.1  total_s=2.6  dist=8.24
gen=17  best=0.0765  avg=0.0740  eval_s=2.1  total_s=2.6  dist=8.18
gen=18  best=0.0765  avg=0.0742  eval_s=2.1  total_s=2.5  dist=8.13
gen=19  best=0.0770  avg=0.0742  eval_s=2.1  total_s=2.5  dist=8.07
[09:48:07] checkpoint=training_history_20260630_094712\gen_0020.pt
gen=20  best=0.0770  avg=0.0747  eval_s=2.1  total_s=2.5  dist=8.04
gen=21  best=0.0770  avg=0.0743  eval_s=2.1  total_s=2.6  dist=7.97
gen=22  best=0.0781  avg=0.0751  eval_s=2.1  total_s=2.5  dist=7.93
gen=23  best=0.0778  avg=0.0752  eval_s=2.1  total_s=2.6  dist=7.86
gen=24  best=0.0781  avg=0.0749  eval_s=2.2  total_s=2.6  dist=7.80
gen=25  best=0.0797  avg=0.0755  eval_s=2.2  total_s=2.6  dist=7.75
gen=26  best=0.0780  avg=0.0755  eval_s=2.1  total_s=2.6  dist=7.69
